Rank,Name,Symbol,marketcap,price (USD),country,sector
64,Universal Music Group,UMG.AS,52791532761,28.7866,Netherlands,entertainment
65,Nordea Bank,NDA-FI.HE,52785209146,15.3217,Finland,bank
66,DHL Group (Deutsche Post),DHL.DE,51587692382,45.5681,Germany,transportation
67,ENGIE,ENGI.PA,50894735089,20.7871,France,electricity
68,Porsche,P911.DE,48960287508,54.0932,Germany,manufacturing
69,BASF,BAS.DE,47831172941,53591,Germany,#N/D
70,Experian,EXPGF,47594668032,52.11,Ireland,financial
71,Société Générale,GLE.PA,47552264183,61.0767,France,bank
72,KBC,KBCSF,47484030976,105.7,Belgium,insurance
73,E.ON,EOAN.DE,47299707013,18.1011,Germany,electricity
74,Heineken,HEIA.AS,45756122973,81.4201,Netherlands,#N/D
75,UCB,UCB.VI,44276191242,233037,Belgium,biotech
76,Aena,AENA.MC,43880649566,29.2538,Spain,#N/D
77,Commerzbank,CBK.F,43070906285,37.5686,Germany,bank
78,Argenx,ARGX,42906025984,701.08,Netherlands,biotech
79,Orange,ORA.PA,42689977805,16.0399,France,telecommunication
80,EQT,EQT.ST,42557165986,36.2525,Sweden,investment
81,HeidelbergCement,HEI.DE,42195817383,236483,Germany,#N/D
82,Dassault Systèmes,DSY.PA,41608663458,31.5193,France,sw
83,Legrand,LR.PA,40183539584,152.75,France,manufacturing
84,Ferrovial,FER.MC,39402773961,54.8873,Spain,#N/D
85,Assa Abloy,ASSA-B.ST,39389319396,35461,Sweden,#N/D
86,Amadeus IT Group,AMS.MC,37181972307,84.6199,Spain,sw
87,Erste Group Bank,EBO.F,37031418118,95.3521,Austria,bank
88,Skandinaviska Enskilda Banken,SEB-A.ST,36723937757,18.4587,Sweden,bank
89,Ahold Delhaize,AD.AS,36722455444,39.9977,Netherlands,food
90,Daimler Truck,DTG.F,36494893776,47.3899,Germany,manufacturing
91,Seagate Technology,STX,36478357504,171.52,Ireland,tech
92,Talanx,TLX.DE,35584515559,137802,Germany,financial
93,Adidas,ADS.DE,35384518062,198178,Germany,clothing
94,Hannover Rück,HNR1.DE,35208745944,291954,Germany,insurance
95,Danske Bank,DANS.VI,33881485044,41.2239,Denmark,bank
96,Kering,KER.PA,33645095665,274437,France,clothing
97,Henkel,HEN3.DE,33521280516,84.3396,Germany,#N/D
98,ČEZ Group,CEZ.PR,33472271407,62354,Czech Republic,electricity
99,Ryanair,RYAAY,33436934144,63.06,Ireland,transportation
100,Exor,EXO.AS,32724892405,100666,Netherlands,investment
101,Leonardo,LDO.MI,32675783934,56.4755,Italy,#N/D
102,KONE,KNEBV.HE,32244744866,62.2679,Finland,services
103,Bayer,BAYN.DE,32038057826,32.6112,Germany,biotech
104,Sandvik,SAND.ST,31958103018,25477,Sweden,manufacturing
105,Endesa,ELE.MC,31821471600,30.5617,Spain,electricity
106,Ingersoll Rand,IR,31748544512,79.88,Ireland,#N/D
107,Swedbank,SWED-A.ST,31608255748,28.1155,Sweden,bank
108,Maersk,MAERSK-B.CO,31349069190,2087.29,Denmark,transportation
109,Poste Italiane,PST.MI,30858813537,23.4964,Italy,#N/D
110,Sampo,SAMPO.HE,30833079005,11.4749,Finland,insurance
111,SAAB AB,SAAB-B.ST,30532410204,56.8958,Sweden,#N/D
112,Fresenius,FRE.DE,30493598429,54.1399,Germany,healthcare
113,Naturgy,NTGY.MC,30472422448,31.7179,Spain,electricity
114,Hexagon AB,HEXA-B.ST,30441184041,11.3401,Sweden,#N/D
115,Telefónica,TEF,30134679552,5345,Spain,telecommunication
116,Novozymes,NZYM.VI,30103084075,64.7437,Denmark,biotech
117,Pernod Ricard,RI.PA,29506205558,117249,France,#N/D
118,Wolters Kluwer,WKL.AS,29339959522,127642,Netherlands,sw
119,RWE,RWE.DE,29304442997,40.3597,Germany,electricity
